2026-01-29 16:15:11.212 [info] Reading sessions from keychain...
2026-01-29 16:15:11.212 [info] Getting sessions for all scopes...
2026-01-29 16:15:11.212 [info] Got 0 sessions for ...
2026-01-29 16:15:11.212 [info] Getting sessions for all scopes...
2026-01-29 16:15:11.212 [info] Got 0 sessions for ...
2026-01-29 16:15:11.212 [info] Getting sessions for all scopes...
2026-01-29 16:15:11.212 [info] Got 0 sessions for ...
2026-01-29 16:15:11.212 [info] Getting sessions for all scopes...
2026-01-29 16:15:11.212 [info] Got 0 sessions for ...
2026-01-29 16:15:11.212 [info] Getting sessions for all scopes...
2026-01-29 16:15:11.212 [info] Got 0 sessions for ...
2026-01-29 16:15:11.212 [info] Getting sessions for all scopes...
2026-01-29 16:15:11.212 [info] Got 0 sessions for ...
2026-01-29 16:15:11.212 [info] Getting sessions for all scopes...
2026-01-29 16:15:11.212 [info] Got 0 sessions for ...
2026-01-29 16:15:11.212 [info] Getting sessions for all scopes...
2026-01-29 16:15:11.212 [info] Got 0 sessions for ...
2026-01-29 16:15:11.212 [info] Getting sessions for all scopes...
2026-01-29 16:15:11.212 [info] Got 0 sessions for ...
2026-01-29 16:15:11.334 [info] Getting sessions for all scopes...
2026-01-29 16:15:11.337 [info] Got 0 sessions for ...
2026-01-29 16:15:11.338 [info] Getting sessions for all scopes...
2026-01-29 16:15:11.338 [info] Got 0 sessions for ...
2026-01-29 16:15:11.338 [info] Getting sessions for all scopes...
2026-01-29 16:15:11.338 [info] Got 0 sessions for ...
2026-01-29 16:15:11.338 [info] Getting sessions for all scopes...
2026-01-29 16:15:11.338 [info] Got 0 sessions for ...
2026-01-29 16:15:11.338 [info] Getting sessions for all scopes...
2026-01-29 16:15:11.338 [info] Got 0 sessions for ...
2026-01-29 16:15:11.338 [info] Getting sessions for all scopes...
2026-01-29 16:15:11.339 [info] Got 0 sessions for ...
2026-01-29 16:15:13.074 [info] Getting sessions for read:user,repo,user:email,workflow...
2026-01-29 16:15:13.075 [info] Got 0 sessions for read:user,repo,user:email,workflow...
